CountryEnglish,ISO3v10,ContinentName,Continent,CountryCode,CountryCodeLong,UNRegion,ISO2,UNSDCode,Resolution,PopulationPerUnit,Area,LevelUsed,Level1Type,Level2Type,Level3Type,Level4Type,Level5Type,NumUnits,RefYearFirst,RefYearLast,P90E ('000),P95E ('000),P00E  ('000),UN_P90 ('000),UN_P95 ('000),UN_P00 ('000),Diff90,Diff00,Source Data: Boundaries,Source Data: Population,Edits and Notes: Spatial,Edits and Notes: Population,Num Settlement Points,Largest Point (pop),Smallest Point (pop),Mean Point (pop),Urban Criteria (UN),Num Urban Extents,Largest Extent (sq.km),Smallest Extent (sq.km),Mean Extent (sq.km),Sum-All Urban Extents (sq.km),Largest Extent (pop),Smallest Extent (pop),Mean Extent (pop),Sum-All Urban Extents (pop),Pct Total Land Area in Urban Extents (sq.km),"Pct Total Population in Urban Extents (2000,NSO est.)","Pct Total Population that is urban (2000,UN)",Num UE's from Nighttime Lights ,Num UE's from Regressions,Num UE's from DCW ,Num UE's from other sources,Settlement Point Population Source,Settlement Point Coordinate Source
Tunisia,TUN,Africa,1,784,78405,Northern Africa,TN,788,80,416,"147,882",1,Gouvernorat,,,,,23,1984,2002,"7,948","8,887","9,563","8,156","8,943","9,459",2.56,-1.10,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","Stastistiques Economiques et Sociales de la Tunise Population par gouvernorat au premier juillet.  Source: Institut National de la Statistique  http://www.ins.nat.tn/_private/idc/page01145.idc .
Institut National de la Statistique (1984), recensement General de la Population et de l'Habitat, Ministere du Plan, Tunis.
","The administrative unit Ariana was split in to 2 units 'Ariana' and 'Manouba' in 2000. As no new spatial data were available, the spatial units and population data were aggregated.",A population growth rate was calculated between 1984 to 1996 and 1996 to 2002 to extrapolate to the target years of 1990 to 2000. ,113,"788,980","7,522","45,037.18",Population living in communes.,58,"1,928",12,161.64,"9,375","2,099,075","13,545","103,105.64","5,980,127",6.34,62.53,66.20,57,1,0,0,"Recensement General de la Population et des Logements, UN Statistical Library; Republique Tunisienne, Ministere Du Plan, Institut National de la Satistique, UN Statistical Library; World Gazetteer, www.gazetteer.de",NIMA; Times Atlas of the World 1999; World Gazetteer
United Rep. of Tanzania,TZA,Africa,1,855,85505,Eastern Africa,TZ,834,99,360,"891,021",2,Region,District,,,,90,1988,2002,"24,376","28,016","32,437","26,043","30,868","35,119",6.40,7.64,"Boundary data were provided by Mike Shand, Cartographer, of the University of Glasgow in Scotland, U.K.  Home Page & Tanzania Links:  http://www.geog.gla.ac.uk/~mshand","2002 Population and Housing Census, Zimbabwe: http://www.tanzania.go.tz/censusf.html
1990 population estimates are based on the  1988 census and earlier census information. United Republic of Tanzania (1989), Sensa 1988 - The 1988 Population Census, Preliminary Results, Bureau of Statistics, Ministry of Finance, Economic Affairs and Planning, Dar-Es-Salaam.
","In the 'Mwanza' region, all level 2 units were dissolved/amalgamated to level 1 because it was not possible to identify how the new units were created in this area. 
The most recent boundaries contained 95 units, but six of these were merged into a single unit in order to make the population data for two time periods compatible.
",The population figures of several administrative units were aggregated in order to match boundaries of the shapefile. (population units: 55 and shapefile units: 25). The maps on the Web site http://www.tanzania.go.tz/census/ were used as a guide for this process. ,56,"2,890,159","33,088","164,864.18",16 gazetted townships.,55,546,3,61.08,"3,360","2,419,945","5,622","205,349.16","11,294,204",0.38,34.82,33.30,32,22,1,0,"AFCities (provided by Uwe Deichman, World Bank); World Gazetteer, www.gazetteer.de",AFCities; NIMA; Times Atlas of the World 1999; World Gazetteer
Uganda,UGA,Africa,1,794,79405,Eastern Africa,UG,800,7,5,"206,968",4,District,County,Sub-County,Parish,,4122,1980,1991,"16,071","18,231","20,738","17,245","20,108","23,300",6.81,10.99,"Ministry of Natural Resources - Department of Forestry, Uganda (1999): National Biomass Study.","1. Republic of Uganda (1992), Provisional results of the 1991 Population and Housing Census, Statistics Department, Ministry of Finance and Economic Planning, Entebbe, Uganda 
2. Republic of Uganda (1992), The 1991 Population and Housing Census, District Summary Series, Statistics Department, Ministry of Finance and Economic Planning, Entebbe, Uganda 
3. Republic of Uganda (1993), The 1991 Population and Housing Census: Preliminary Estimates of Fertility and Mortality, 1993, Statistics Department, Ministry of Finance and Economic Planning, Entebbe, Uganda ",,"Growth Rates from 1980 to 1991 were calculated for 28 artificial regions created from level one units so that population data from two time periods could be matched.  The caculated growth rates are applied to 1991 parish population to project to 1990, 1995 and 2000.",68,"1,235,194","2,195","40,931.25","Cities, municipalities, towns, town_boards and all trading centers with a population over 1,000 persons.",47,563,1,31.05,"1,459","1,613,494","5,627","60,879.55","2,861,339",0.71,13.80,14.50,11,27,3,6,"1991 Uganda Census, www.ubos.org; AFCities (provided by Uwe Deichman, World Bank); City Population, http://www.citypopulation.de; World Gazetteer, www.gazetteer.de",AFCities; NIMA; Times Atlas of the World 1999; World Gazetteer
South Africa,ZAF,Africa,1,700,70005,Southern Africa,ZA,710,4,1,"1,217,645",3,Province,Magisterial District,Enumeration Area,,,83125,1996,2001,"36,530","39,876","43,551","36,376","40,033","43,309",-0.42,-0.56,"Statistics South Africa, Population Census, 1996. ‘Community Profile Databases’ CD ","Statistics South Africa, Population Census, 1996. ‘Community Profile Databases’ CD; 2001-MidYear Province Population estimates data is from: http://www.statssa.gov.za/default3.asp","The South African shapefiles contain 83,016 administrative units while the census records population values for 83,126 areas.  This translates to 110 missing spatial units, all but one of which was incorporated via correspondence with province-level population values. Coastline was not matched to DCW as data is more detailed than DCW, and there is general agreement with DCW.","Data were interpolated and extrapolated to 1990, 1995, and 2001 using a province level growth rates (1996-2001) applied to corresponding Enumeration Area sub-units. ",310,"2,332,338","5,481","96,333.14","All population agglomerations of an urban nature, without regard to local boundaries and status.",199,"7,841",16,223.83,"44,542","7,994,775","5,078","128,388.40","25,549,292",3.66,58.67,57.70,191,8,0,0,"1996 South Africa Census, National Statistical Office, South Africa; AFCities (provided by Uwe Deichman, World Bank); City Population, http://www.citypopulation.de; World Gazetteer, www.gazetteer.de",AFCities; City Population; NIMA; UNSD; World Gazetteer
Zambia,ZMB,Africa,1,928,92805,Eastern Africa,ZM,894,115,167,"745,317",2,Province,District,,,,56,1990,2000,"7,800","8,512","9,337","8,049","9,218","10,421",3.09,10.40,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov,"Republic of Zambia, 2000 Census of Population and Housing, Presentation of Selected Indicators, 18 November 2002, Mulungushi International Conference Center - Lusaka
Republic of Zambia, 1990 Census of Population, Housing, and Agriculture, Preliminary Report, Central Statistics Office, Lusaka",,Population totals for 2000 were obtained at the province level but for 1990 were available at the district level. Province level growth-rates from 1990-2000 where thus applied to the 1990 district-level data to obtain district-level estimates of population in 1995 and 2000. ,44,"903,118","1,803","73,443.50","Localities of 5,000 inhabitants or more, with a majority of the labour force not in ag_ricultural activities.",35,935,25,123.83,"4,334","1,359,351","5,061","105,537.83","3,693,824",0.58,39.56,39.80,21,14,0,0,"AFCities (provided by Uwe Deichman, World Bank); Zambia Census of Population, Housing & Argriculture 1990, UN Statistical Library",AFCities; NIMA; UNSD; World Gazetteer
Zimbabwe,ZWE,Africa,1,938,93805,Eastern Africa,ZW,716,82,201,"389,055",2,Province,District,,,,58,1992,2002,"10,303","10,931","11,641","10,241","11,475","12,627",-0.61,7.81,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov .,"Census 2002, Preliminary Results Summary, Central Statistical Office, Census 1992, Preliminary Report, Central Statistical Office: http://www.zimrelief.info/index.php?sectid=12&articleid=756 .",UNEP/GRID-WRI-NCGIA boundaries are at the district administative level.,"Chinoye was aggregated with Makonde in the 2002 population data in order to match both our boundaries and 1992 population data (which show them as one unit called Makonde).
A population growth rate was calculated between 1992 and 2002 to extrapolate the population data to target years.",27,"1,609,622","1,302","145,666.04",Nineteen main towns.,23,"1,412",37,214.59,"4,936","2,409,108","8,788","203,022.04","4,669,507",1.27,40.11,36.00,23,0,0,0,"Census 1992: Zimbabwe National Report, Census 1992: Zimbabwe National Report; World Gazetteer, www.gazetteer.de",NIMA; Times Atlas of the World 1999; World Gazetteer
Afghanistan,AFG,Asia,4,14,1405,South-central Asia,AF,4,44,63,"634,908",2,Province,District,,,,329,,1998,"12,943","18,052","20,600","13,675","19,073","21,765",5.35,5.35,"Afghanistan Information Management Service, http://www.aims.org.af/ .","UN Afghani Central Statistical Office via the Afghanistan Information Management Service, http://www.aims.org.af/ .",,"Population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",50,"1,982,717","7,912","102,810.56",Sixty-three localities.,35,316,3,54.92,"1,922","2,095,631","5,020","123,408.71","4,319,305",0.30,20.97,22.30,8,17,10,0,"Preliminary Results of the First Afghan Population Census, 1979, UN Statistical Library; World Gazetteer, www.gazetteer.de",NIMA; World Gazetteer
United Arab Emirates,ARE,Asia,4,830,83005,Western Asia,AE,784,97,399,"74,777",1,Emirate,,,,,8,1985,1995,"1,822","2,377","3,196","2,014","2,352","2,606",9.53,-22.62,UNEP/GRID-WRI-NCGIA Asia Population Database: http://grid2.cr.usgs.gov .,United Arab Emirates Census 1985 and 1995: http://www.uae.gov.ae/mop/Census/census.htm .,,,9,"757,524","25,577","237,309.44",Not available.,4,"6,297",56,"1,900.51","7,602","1,969,830","10,252","532,529.75","2,130,119",10.17,66.66,87.20,4,0,0,0,"City Population, www.citypopulation.de",City Population; NIMA
Armenia,ARM,Asia,4,36,3605,Western Asia,AM,51,51,293,"28,277",1,Marzes,Rayon,,,,11,1989,2001,"3,280","3,246","3,218","3,545","3,760","3,787",7.47,15.02,"Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN), http://www.asian.gu.edu.au/ .","2001 Census marzes (administrative 1 level) were provided by the National Statistical Service of Armenia and downloaded at: http://docs.armstat.am/census/engcontent.php .
1989 rayon (administrative 2 level) population data were obtained via the Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN), http://www.asian.gu.edu.au/ .  ",The rayon (administrative 2 level) boundaries were dissolved to the marzes (administrative 1 level) level.,"The National Statistics of the Republic of Armenia reported that because the 1989 census took place under difficult conditions, the census data resulted in an undercount.  The Rayon population was aggregated to the Marzes level.",42,"1,246,202","1,679","57,384.55","Cities and urban-type localities, of_ficially designated as such, usually according to the criteria of number of inhabitants and predominance of agricultural or non-agricultural workers and their families.",33,594,1,48.17,"1,590","1,651,491","5,519","81,867.70","2,701,634",5.62,83.95,67.20,16,8,9,0,"Armenia Census 2001, National Statistical Service of the Republic of Armenia (NSS of RA), UN Statiscal Library; World Gazetteer, www.gazetteer.de",ASCities; Getty; NIMA; World Gazetteer
Azerbaijan,AZE,Asia,4,46,4605,Western Asia,AZ,31,34,108,"85,355",1,Rayon,,,,,74,,1990,"7,116","7,533","7,974","7,175","7,685","8,041",0.83,0.83,"Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN), http://www.asian.gu.edu.au/ .","Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN), http://www.asian.gu.edu.au/ .",,"Population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",29,"1,807,300","21,042","117,426.97","Cities and urban-type localities, offi_cially designated as such, usually according to the criteria of number of inhabitants and predominance of agricultural or non-agricultural workers and their families.",27,"1,597",7,226.79,"6,123","2,079,787","12,378","157,210.52","4,244,684",7.17,53.23,51.80,26,0,1,0,"ASCities (provided by Uwe Deichman, World Bank); Statistical Yearbook Azerbaijan 2001, Statistical Yearbook Azerbaijan 2001; World Gazetteer, www.gazetteer.de",ASCities; NIMA; World Gazetteer
Bangladesh,BGD,Asia,4,52,5205,South-central Asia,BD,50,17,251,"136,305",3,Division,Zila,Thana,,,486,1991,2001,"104,013","112,476","121,798","110,025","123,612","137,439",5.46,11.38,"UNEP/GRID-WRI-NCGIA Asia Population Database: http://grid2.cr.usgs.gov .
The original database was produced by the National Statistical Office of Bangladesh in collaboration with the UNSD/POPMAP Project. ","2001 census, Population Census 2001 Preliminary Report, http://www.bbsgov.org/ .
Bangladesh Central Statistical Office, Census of 1991, digital data obtained from the UNSD/POPMAP Project..","The original data were compiled in POPMAP which at that time did not support true geo-referencing. Source map scale and projection were unknown. The data were first transformed into Transverse Mercator Projection (which resulted in the lowest error among several possible projections evaluated) and then projected into lat/long (ie, geographic) coordinates. Rubbersheeting was then performed on the resulting coverage to improve the match with the country and coastal outline from the Digital Chart of the World (DCW). Thus, the coverage is suitable for regional and continental scale applications as well as for visualization of spatial pattern using census data. It should not be used for high resolution applications at the sub-national level.","The 2001 Census data assigned four Zila units (Hobiganh, Moulavibazar, Sylhet, and Sunamganj) to the new Sylhet Division.  These units split from the Chittagong Divison.
Population data were extrapolated to target years of 1990, 1995 and 2000 using Zila (administrative level 2) inter-censal growth rates applied to the 1991 Thana (administrative level 3) population data.",157,"5,418,584","9,473","116,302.89","Places having a municipality (Pourashava), a town committee (Shahar commit_tee) or a cantonment board. In general, urban areas are a concentration of at least 5,000 persons in con_tinuous collection of houses where the community sense is well developed and the community main_tains public utilities, such as, roads, street lighting, water supply, sanitary arrangements etc. These places are generally centres of trade and com_merce where the labour force is mostly non_agricultural and literacy levels are high. An area that has urban characteristics but has fewer than 5,000 inhabitants may, in special cases, be consid_ered urban.",130,"1,282",6,78.35,"10,185","9,804,932","8,458","236,064.95","30,688,443",7.47,25.20,25.60,86,44,0,0,"Bangladesh Population Census 1991, Vol. 3: Urban Area Report, www.bbsgov.org/; Bangladesh Population Census 2001 Preliminary Report, Census Bureau; City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",ASCities; Getty; NIMA; Times Atlas of the World 1999; UNSD; World Gazetteer
Bahrain,BHR,Asia,4,50,5005,Western Asia,BH,48,8,62,623,1,Municipality, , ,,,10,1991,2001,485,545,615,490,573,640,1.02,3.85,ESRI Level 1 and Digital Chart of the World (DCW).,"State of Bahrain Central Statistics Organization, Basic Results—Population, Housing, Buildings & Establishments Census, 2001 population by region, http://www.bahrain.gov.bh/census/popu_e.html .
State of Bahrain Central Statistics Organization, Bahrain in Figures 1996, Census Population by Region 1991, http://www.bahrain.gov.bh/english/RunIndex.asp?count=21 .",,,7,"131,733","10,734","52,821.86"," Communes or villages with 2,500 inhabitants or more.",3,510,6,177.53,533,"503,343","8,638","199,015.67","597,047",85.46,97.02,92.50,3,0,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",NIMA
Brunei Darussalam,BRN,Asia,4,92,9205,South-eastern Asia,BN,96,38,82,"5,901",1,District,,,,,4,1981,1996,253,296,330,257,294,328,1.48,-0.52,District boundaries were digitized from the CIA map at: http://www.lib.utexas.edu/Libs/PCL/Map_collection/middle_east_and_asia/Brunei.GIF .,1996 district (administrative 1 level) population information from BruNet: http://www.brunet.bn/org/bsmehp/brunei/info/smepopn.htm .,,"Population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",5,"61,915","2,475","27,796.60",Municipalities and areas having ur_ban socio-economic characteristics.,1,"1,117","1,117","1,116.86","1,117","222,177","222,177","222,177.00","222,177",18.93,67.38,72.80,1,0,0,0,"World Gazetteer, www.gazetteer.de",NIMA; World Gazetteer
Bhutan,BTN,Asia,4,64,6405,South-central Asia,BT,64,45,98,"38,040",1,District,,,,,19,,1985,"1,697","1,847","1,868","1,696","1,831","2,085",-0.03,10.42,UNEP/GRID-WRI-NCGIA Asia Population Database: http://grid2.cr.usgs.gov .,"Europa World Yearbook, (administrative 1 level) ",,"Population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",18,"53,600","1,100","10,063.94",Not available.,5,95,21,41.10,206,"59,533","14,674","29,811.00","149,055",0.54,7.98,7.40,2,3,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",NIMA
China,CHN,Asia,4,138,13805,Eastern Asia,CN,156,62,518,"9,198,103",3,Province,Prefecture,County,,,2390,1990,2000,"1,165,506","1,189,878","1,238,736","1,135,506","1,198,683","1,253,494",-2.64,1.18,"China 2000 County Population Census (CD-ROM). All China Marketing Research Co., LTD. ","China 2000 County Population Census (CD-ROM). All China Marketing Research Co., LTD. ","Taiwan was removed from the China shapefile.
1990 and 1995 population estimates were added to GPW3 units from GPW2 as follows: 1) GPW2 polygons projected to match GPW3 coordinate system with slight adjustment in false northing to compensate for misalignment 2) Converted projected GPW2 polygons to centroids 3) Visually-inspected centroids to ensure placement within appropriate GPW3 polygon (verified by comparing to administrative unit names) and moved when necessary 4) Where disaggregation occurred, centroids were copied and pasted to corresponding empty polygons. 5) Performed spatial join in ArcMap to assign GPW2 attributes to the new polygons and assigned the sum of each population attribute if there were multiple centroids within each polygon 6) Inspected data to ensure no data loss 7) Data were converted to lat/long coordinates.",The 2000 population data was missing for the administrative 3 level unit of Mangyadachaidan.  A population growth rate was calculated using 1990 and 1995 Mangyadachaida population estimates.  The 1995 data was then projected forward to 2000. ,"4,707","14,348,535","1,807","57,969.88","Up to 1982: total population of cities and towns. Cities had to have a population of at least 100,000 or command special administrative, strategic, or economic importance to qualify as cit_ies. Towns were either settlements with more than 3,000 inhabitants of whom more than 70 per cent were registered as non-agricultural or settlements with a population ranging from 2,500 to 3,000 of whom more than 85 per cent were registered as non-agricultural. For the 1990 census: (1) all resi_dents of urban districts in provincial and prefec_tural-level cities; (2) resident population of ""streets"" (jiadao) in county-level cities; (3) population of all residents' committees in towns. For 1996 and 2000: Not available.","3,803","9,357",1,68.69,"261,241","31,266,420","5,252","111,417.05","423,719,026",2.84,34.21,36.70,"1,021","2,741",41,0,"CHINA POPULATION BY TOWNSHIP Census 2000, UNIVERSITY OF MICHIGAN, CHINA DATA CENTER at www.umich.edu/~iinet/c",DCW; Getty; NIMA; World Gazetteer
Cyprus,CYP,Asia,4,174,17405,Western Asia,CY,196,5,2,"9,273",2,District,Municipality,,,,414,1992,2001,591,650,748,681,744,784,13.23,4.62,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"2001 population census data were provided by the Statistical Service of the Republic of Cyprus and The Press Information Office of Cyprus, http://www.mof.gov.cy/mof/cystat/statistics.nsf/populationcondition_en/ and http://www.pio.gov.cy/dsr/key_figures/population_census/municipality.xls .  
Population estimates for the Turkish controlled areas were also provided by the Press Information Office, http://www.pio.gov.cy/dsr/key_figures/population/index.htm .
1992 population data from: Europe World Yearbook, 1992 Census.",,"No detailed population data were available for the Turkish controlled area of Cyprus, thus all subnational units in this area were dissolved into one polygon and assigned a single population value.  The population values estimated by calculating the difference between ""Total estimated population including estimates of Turkish Cypriots"" and ""Population in the Government controlled area"" for 1992 and 2001.
The 'Anthoupoli Refugee Housing Estate' unit is not listed in the boundary file, but the census Web site suggests it is part of the Lakatameia municipality; therefore the populations of the two areas were aggregated.  
District level (administrative level 1) growth rates between census years 1992 and 2001 were applied to the 2001 municipality (administrative level 2) population for extrapolation to target years.",73,"92,328","1,019","7,379.64",Six district towns and Nicosia's suburbs.,4,"1,004",246,573.95,"2,296","303,939","50,475","167,576.25","670,305",24.76,89.64,70.20,4,0,0,0,"Cyprus Population Census, 2001, REPUBLIC OF CYPRUS, STATISTICAL SERVICE; www.pio.gov.cy/dsr/key_figures/population_census/municipality.xls",NIMA; World Gazetteer
Georgia,GEO,Asia,4,263,26305,Western Asia,GE,268,29,59,"69,236",2,Oblast,Rayon/Ad. Gors.,,,,80,1989,2002,"5,357","4,984","4,691","5,460","5,352","5,262",1.89,10.84,Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN).,"General Population Census of Georgia 2002: http://www.statistics.ge/Main/census/INDEX.HTM .
",,"The spatial administrative ad.gors. units of Gori, Zugdidi, and Marneuli have separate polygons within the rayon boundaries.  The 2002 population data does not account for these areas.  It was thus necessary to: (1) extrapolate the 2001 city population data for the three units using the UN 2000 Revision Medium Variant Projections and (2) subtract the ad gors. population totals from their corresponding 2002 to adjust the rayon population figures. 
There are 13 places in Georgia that are currently considered uncontrolled territories.  The 2002 population estimate reports a single figure for the combined areas. However, the 1989 population provides individual figure for each area. Thus, the proportional growth of each of the 13 territories  was calculated between 1989 and 2002 to extrapolate the 1989 figures to 2002.
",61,"1,088,427","1,700","43,469.08","Cities and urban-type localities, offi_cially designated as such, usually according to crite_ria regarding the number of inhabitants and the pre_dominance of non-agricultural workers and their families.",48,784,2,71.69,"3,441","1,421,659","5,329","63,821.77","3,063,445",4.97,65.30,56.50,33,7,8,0,"ASCities (provided by Uwe Deichman, World Bank); Georgia Census 2002, State Department for Statistics of Georgia, www.statistics.ge/index_Eng.html; State Department for Statistics of Georgia, www.statistics.ge/index_Eng.html",DCW; Getty; NIMA; Times Atlas of the World 1999; World Gazetteer
Hong Kong,HKG,Asia,4,324,32405,Eastern Asia,HK,344,8,367,"1,054",2,District,Council District,Consituency Area,,,18,1991,2001,"5,584","6,095","6,599","5,705","6,210","6,860",2.12,3.81,"UNEP/GRID-WRI-NCGIA Asia Population Database: http://grid2.cr.usgs.gov and the Electoral Affairs Committee, Survey and Mapping Office, Lands Department","Census and Statistics Department, Hong Kong SAR, People's Republic of China http://www.info.gov.hk/censtatd/eng/hkstat/fas/01c/cd0152001_index.html .","The UNEP/GRID boundaries were updated using a digitized map from the Electoral Affairs Committee, May 1999.","The Marine population was distributed across all the council districts using a weighted population distribution.  
Population data were extrapolated to target years of 1990, 1995 and 2000 using 1991–1996 and 1996–2001 growth rates.",13,"2,166,229","104,720","467,663.85","Hong Kong Island, New Kowloon and new towns in New Territories.",3,692,5,256.17,769,"4,167,910","344,890","1,928,253.33","5,784,760",72.93,87.66,100.00,3,0,0,0,"City Population, www.citypopulation.de",NIMA
Indonesia,IDN,Asia,4,344,34405,South-eastern Asia,ID,360,5,3,"1,898,776",4,Propinsi,Kabupaten,Kecamaten,Desa,,68400,1990,2000,"173,432","186,151","200,122","182,474","197,622","212,092",4.96,5.64,"2000 boundaries from BPS Statistics Indonesia, Statistical Services, http://www.bps.go.id .","1990 and 2000 Population Censuses, BPS Statistics Indonesia: http://www.bps.go.id/sector/population/table1.shtml for propinsi (administrative 1 level) data. Desa (administrative 4 level) population data for 2000 were purchase from BPS.",,"Due to significant numbers of boundary changes to the Kabopaten (administrative level 2) units, 1990–2000 Propinsi (administrative level 1) growth rates were calculated for all population projections and applied to the Desa (administrative level 4) population data.  Because 2000 census estimates were not produced for the Kabopaten of Pidie, the 2000 Desa-level units were merged up to the Kabupaten level and then 1990 Kabupaten-level populations were extrapolated forward to the target years.
The Province of DAERAH ISTIMEWA ACEH (Prop 11)  is a special case, in this province the new Kabopaten ACEH TIMUR (code 180) have a lot of desas without matching polygons.  Coincindentally, there are a lot of desa polygons in Kabopaten 170 without a matching population.  About a third of the mismatches in this province were sorted out by using the desa name.  However, for the remaining desas in both Kabopatens 170 and 180 were sorted out using the following method:  Total population for Prop 11 from the population data and the the matched data in the shapefile were calculated and the difference distributed equally to desas without matching population.  This assumes that the population of the desas without matching polys have been covered in this method so that their population was no longer redistributed to avoid double counting.
",443,"12,767,158","1,600","163,784.62","Municipalities (kotamadya), re_gency capitals (kabupaten) and other places with urban characteristics.",238,"4,071",2,136.13,"32,398","20,791,230","5,107","341,876.36","81,366,574",1.71,40.66,42.10,173,53,12,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",Getty; Map; NIMA; Times Atlas of the World 1999; UNSD; World Gazetteer
India,IND,Asia,4,340,34005,South-central Asia,IN,356,25,182,"3,209,716",3,State,District,Tehsil,,,5089,1991,2001,"759,963","837,800","924,223","844,886","927,102","1,008,937",10.05,8.40,"Tahsil Digital Map of India purchased from ML Infomap Private Limited, http://www.mlinfomap.com/.  
Original 2001 data source cited as: National Atlas and Thematic Mapping Organization (NATMO) and the Survey of India (SOI), and the Census of India.
Original 1991 data source cited as: National Atlas and Thematic Mapping Organization (NATMO) and the Survey of India (SOI).","1991 and 2001 population data were purchased from ML Infomap Private Limited, http://www.mlinfomap.com/.  
Original 2001 data source cited as:Provisional population tables; Census of India 2001-district-wise for each State and
Rural-Urban Distribution of population.
Original 1991 data source cited as: Census of India, state, district and town level population statistics for 1991 provided by the office of the Registrar General and Census Commissioner, India.",,,"3,570","16,251,717","1,027","76,820.12","Towns (places with municipal cor_poration, municipal area committee, town commit_tee, notified area committee or cantonment board); and all places having 5,000 inhabitants or more, a density of not fewer than 1,000 persons per square mile or 390 per square kilometre, pronounced urban characteristics and at least three fourths of the adult male population employed in pursuits other than agriculture.","2,736","3,746",1,74.75,"204,524","19,070,860","5,048","110,104.84","301,246,832",6.37,32.59,27.90,"1,859",863,14,0,"India Census 1991, www.indiastat.com/default.asp; India Census 2001, Provisional Results, www.censusindia.net/results/town.php?stad=7; World Gazetteer, www.gazetteer.de",ASCities; Census; City Population; DCW; Getty; GIS; Map; NIMA; Times Atlas of the World 1999; UNSD; World Gazetteer
Iran,IRN,Asia,4,350,35005,South-central Asia,IR,364,80,259,"1,590,351",2,Ostan,Shahrestan,,,,250,1986,1996,"53,246","58,714","64,832","58,435","64,630","70,330",8.88,7.82,"Spatial data provided by David Rain, US Census Bureau, http://www.census.gov .","Population data provided by David Rain, US Census Bureau, http://www.census.gov .","In 1993, Ardabil ostan (administrative level 1) split from East Azarbaijan.  In 1995, Qom ostan split from Tehran. In 1997, Aliabad, Gonbad-e-Kavus, Gorgan, Kordkuy, Minudasht (onbad-e-Kavus), and Torkaman sharestans (administrative level 2), all of which originally belonged to Mazandaran ostan, became a part of Golestan ostan.","The populations of Ardebil ostan (administrative level 1) and East Azerbaijan were aggregated.  Also aggregated were the populations of Qom ostan and Tehran.  The populations of Aliabad, Gonbad-e-Kavus, Gorgan, Kordkuy, Minudasht (onbad-e-Kavus), and Torkaman sharestans (administrative level 2) were assigned to the ostan Mazandaran (administrative level 1).
1986 population figures were not available at the shahrestan (administrative 2) level.  Thus, population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates calculated between 1986 and 1996 at the ostan (administrative 1) level.  These rates were applied to the 1996 sharestans.",193,"7,475,657","20,852","185,346.62","All shahrestan (county) centres, re_gardless of size; and all places having municipal centres.",137,"6,405",6,437.79,"59,978","12,449,130","13,483","291,353.74","39,915,463",3.77,61.57,64.70,130,5,2,0,"City Population, www.citypopulation.de; Statistical Pocketbook of the Islamic Republic of Iran 1998, UN Statistical Library; World Gazetteer, www.gazetteer.de",ASCities; Getty; Map; NIMA; UNSD; World Gazetteer
Iraq,IRQ,Asia,4,354,35405,Western Asia,IQ,368,151,"1,216","430,575",1,Governorates,,,,,19,1977,1985,"17,996","20,181","23,098","17,271","20,049","22,946",-4.20,-0.66,World Data Bank II,"Federal Statistical Office of Germany, Laenderbericht: Irak 1988, J.B. Metzler & C.E. Poeschel, Wiesbaden, 1988. ","Boundary data source: World Data Bank II
Coverage includes Iraq/Saudi Arabia Neutral Zone, with a COUNTRY identifier of 'IY' (as in WBDII), an ADMINID of 999000000, and a population of 0.","Population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",24,"5,956,616","43,512","575,247.29",Area within the boundaries of municipality councils (al majlis al baldei).,21,"2,016",3,469.96,"9,869","6,337,758","72,904","743,664.62","15,616,957",2.29,67.61,67.40,19,0,2,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",NIMA; World Gazetteer
